,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
HN,906.0,0.5581712593255246,1.0,0.5703717240102355,0.9991304347826087,0.9969522570935209,0.5904347826086956,1.0,0.9991304347826087,0.5581712593255246
MC,287.0,0.5702301454593616,1.0,0.5702301454593616,1.0,0.9900699228854849,0.639751552795031,1.0,1.0,0.5702301454593616
SI,10772.0,-0.035213675213675216,1.0,0.5678632478632478,0.6615384615384615,0.997948717948718,0.0003418803418803419,1.0,0.6615384615384615,-0.035213675213675216
RO,24440.0,-0.08923076923076922,1.0,0.5671794871794872,0.6697435897435897,0.9801709401709402,0.046153846153846156,1.0,0.6697435897435897,-0.08923076923076922
AO,670.0,0.5646500244638136,1.0,0.5646500244638136,1.0,0.9986948004009163,0.5756521739130435,1.0,1.0,0.5646500244638136
FK,23.0,0.5642880936468347,1.0,0.5642880936468347,1.0,0.9746794344808964,0.6,1.0,1.0,0.5642880936468347
GL,208.0,0.5639620190777477,1.0,0.5639620190777477,1.0,0.998625428903524,0.5824175824175825,1.0,1.0,0.5639620190777477
AW,60.0,0.5635614196082249,1.0,0.5635614196082249,1.0,0.9749612559222292,0.6813186813186813,1.0,1.0,0.5635614196082249
BN,1546.0,0.5453923827359726,1.0,0.5624893226336519,0.9986324786324786,0.9998290452162907,0.545982905982906,1.0,0.9986324786324786,0.5453923827359726
BS,132.0,0.5622602531826465,1.0,0.5622602531826465,1.0,0.9895285072531598,0.6372549019607843,1.0,1.0,0.5622602531826465
LT,6992.0,0.3606837606837607,1.0,0.5617094017094018,0.9179487179487179,0.9972649572649572,0.38940170940170943,1.0,0.9179487179487179,0.3606837606837607
GN,420.0,0.5550311272932849,1.0,0.5550311272932849,1.0,0.9925158534241384,0.6192982456140351,1.0,1.0,0.5550311272932849
IQ,36633.0,0.04341880341880342,1.0,0.5548717948717948,0.7948717948717948,0.9336752136752137,0.3490598290598291,1.0,0.7948717948717948,0.04341880341880342
LU,3817.0,0.48529414602757776,1.0,0.5506156272758282,0.989059829059829,0.9948700992207355,0.5357264957264958,1.0,0.989059829059829,0.48529414602757776
KH,3532.0,0.5291603227732645,1.0,0.5493416149798726,0.9972649572649572,0.992645931925025,0.5815384615384616,1.0,0.9972649572649572,0.5291603227732645
NZ,18992.0,0.1029059829059829,1.0,0.5466666666666666,0.8331623931623932,0.9883760683760684,0.19863247863247863,1.0,0.8331623931623932,0.1029059829059829
LS,181.0,0.5444305569329889,1.0,0.5444305569329889,1.0,0.9796168244813978,0.6701754385964912,1.0,1.0,0.5444305569329889
MQ,328.0,0.528550158916917,1.0,0.5429770863315228,0.9987012987012988,0.9902118361842988,0.5974025974025974,1.0,0.9987012987012988,0.528550158916917
NI,1223.0,0.5076983798452339,1.0,0.5404158645206281,0.9969230769230769,0.9973059152228969,0.546923076923077,1.0,0.9969230769230769,0.5076983798452339
GA,465.0,0.5340302972146422,1.0,0.5372865795147315,0.9987012987012988,0.9957711273673024,0.5766233766233766,1.0,0.9987012987012988,0.5340302972146422
SN,1980.0,0.4988887062142846,1.0,0.5306890144239683,0.9958974358974358,0.9964096572367549,0.5316239316239316,1.0,0.9958974358974358,0.4988887062142846
TM,196.0,0.5267492864120984,1.0,0.5267492864120984,1.0,0.9925158534241384,0.6017543859649123,1.0,1.0,0.5267492864120984
CI,2106.0,0.5069266957659845,1.0,0.5250556531719206,0.9986324786324786,0.989567429724017,0.5952136752136752,1.0,0.9986324786324786,0.5069266957659845
NE,714.0,0.5216074226902573,1.0,0.5216074226902573,1.0,0.9962324542506229,0.56991452991453,1.0,1.0,0.5216074226902573
AE,21922.0,0.11931623931623932,1.0,0.52,0.8365811965811966,0.971965811965812,0.2629059829059829,1.0,0.8365811965811966,0.11931623931623932
BZ,92.0,0.5197131475978969,1.0,0.5197131475978969,1.0,0.979248983368669,0.6178571428571429,1.0,1.0,0.5197131475978969
CG,669.0,0.5011980564977885,1.0,0.5168741034429843,0.9982608695652174,0.995864426768412,0.5460869565217391,1.0,0.9982608695652174,0.5011980564977885
ST,500.0,0.4834391843181364,1.0,0.5165656380615633,0.9979360165118679,0.9968992173412534,0.5108359133126935,1.0,0.9979360165118679,0.4834391843181364
CV,113.0,0.5086528760951139,1.0,0.5086528760951139,1.0,0.9880608229691535,0.5933952528379773,1.0,1.0,0.5086528760951139
FO,186.0,0.5083706677660502,1.0,0.5083706677660502,1.0,0.990766191923616,0.5735294117647058,1.0,1.0,0.5083706677660502
KG,2154.0,0.4531640783962013,1.0,0.5077899690008367,0.9884615384615385,0.9974995375902801,0.4869230769230769,1.0,0.9884615384615385,0.4531640783962013
ZW,2502.0,0.38748292279721325,1.0,0.5054719857848907,0.976068376068376,0.9962380883568246,0.4331623931623932,1.0,0.976068376068376,0.38748292279721325
EE,4836.0,0.40793298595863026,1.0,0.5005984002040526,0.9801709401709402,0.9957257796408476,0.4502564102564103,1.0,0.9801709401709402,0.40793298595863026
MU,527.0,0.49913390239893746,1.0,0.49913390239893746,1.0,0.9971115100432828,0.5223076923076924,1.0,1.0,0.49913390239893746
PY,2419.0,0.44071872412530605,1.0,0.4958085646409693,0.9945299145299146,0.9923014751268536,0.5152136752136752,1.0,0.9945299145299146,0.44071872412530605
BI,878.0,0.46070932964262085,1.0,0.47919933618346183,0.9976923076923077,0.9976899362662107,0.4876923076923077,1.0,0.9976923076923077,0.46070932964262085
KP,321.0,0.476566117100624,1.0,0.476566117100624,1.0,0.9971699083340595,0.5008695652173913,1.0,1.0,0.476566117100624
AL,2087.0,0.4455462537335249,1.0,0.4763207455493478,0.9972649572649572,0.997093534832662,0.4707692307692308,1.0,0.9972649572649572,0.4455462537335249
HR,12212.0,0.13916909076711023,1.0,0.4746110515595799,0.8858119658119659,0.997093534832662,0.174017094017094,1.0,0.8858119658119659,0.13916909076711023
TT,653.0,0.4738576613795522,1.0,0.4738576613795522,1.0,0.9970897824108088,0.5152136752136752,1.0,1.0,0.4738576613795522
FJ,732.0,0.43342052968472666,1.0,0.46649277893777813,0.9973913043478261,0.9965190893353656,0.46869565217391307,1.0,0.9973913043478261,0.43342052968472666
SX,109.0,0.4630659311970379,1.0,0.4630659311970379,1.0,0.9589475583056769,0.6223776223776224,1.0,1.0,0.4630659311970379
CU,3066.0,0.397332883222069,1.0,0.4623012548332507,0.9897435897435898,0.9977774124285692,0.4372649572649573,1.0,0.9897435897435898,0.397332883222069
MG,800.0,0.46194001760131725,1.0,0.46194001760131725,1.0,0.9995651228322289,0.46869565217391307,1.0,1.0,0.46194001760131725
TL,302.0,0.4597813302303718,1.0,0.4597813302303718,1.0,0.9978046076701186,0.4789473684210526,1.0,1.0,0.4597813302303718
SL,507.0,0.45915299859904163,1.0,0.45915299859904163,1.0,0.9948314969645902,0.5025799793601651,1.0,1.0,0.45915299859904163
LI,235.0,0.4587575377477557,1.0,0.4587575377477557,1.0,0.9883568372398721,0.5437605872388481,1.0,1.0,0.4587575377477557
LB,8100.0,0.20106001319670963,1.0,0.4540947236823646,0.9220512820512821,0.9895708812776831,0.28,1.0,0.9220512820512821,0.20106001319670963
MK,3156.0,0.3084287957541362,1.0,0.4506753357028287,0.9705982905982906,0.9981193512265228,0.3292307692307692,1.0,0.9705982905982906,0.3084287957541362
SO,1241.0,0.4457749931618218,1.0,0.45056459400930104,0.9993162393162394,0.9993160053919274,0.4570940170940171,1.0,0.9993162393162394,0.4457749931618218
RW,2552.0,0.41593985293619246,1.0,0.44980337714728047,0.997948717948718,0.9950403225258091,0.4735042735042735,1.0,0.997948717948718,0.41593985293619246
WS,61.0,0.4476309754096754,1.0,0.4476309754096754,1.0,0.9607689228305227,0.6223776223776224,1.0,1.0,0.4476309754096754
BB,364.0,0.42680650200906173,1.0,0.4464147639696618,0.9987012987012988,0.990217229010304,0.512987012987013,1.0,0.9987012987012988,0.42680650200906173
GD,582.0,0.44574755823711143,1.0,0.44574755823711143,1.0,0.987202345678215,0.5210526315789473,1.0,1.0,0.44574755823711143
AZ,7063.0,0.3545299145299145,1.0,0.4447863247863248,0.9808547008547008,0.9863247863247864,0.47213675213675216,1.0,0.9808547008547008,0.3545299145299145
PR,4038.0,0.3463247863247863,1.0,0.4311111111111111,0.987008547008547,0.9958974358974358,0.40102564102564103,1.0,0.987008547008547,0.3463247863247863
JM,548.0,0.4304424767362567,1.0,0.4304424767362567,1.0,0.9960796523461097,0.4617391304347826,1.0,1.0,0.4304424767362567
NA,774.0,0.4161695864043788,1.0,0.43002907309314625,0.9992307692307693,0.9990379988153218,0.4346153846153846,1.0,0.9992307692307693,0.4161695864043788
TH,31992.0,-0.18495726495726494,1.0,0.4263247863247863,0.7237606837606838,0.9076923076923077,0.1829059829059829,1.0,0.7237606837606838,-0.18495726495726494
BF,1831.0,0.3959651280302547,1.0,0.4260557422501704,0.997948717948718,0.9882031260858688,0.45504273504273507,1.0,0.997948717948718,0.3959651280302547
BH,2536.0,0.37790699884459017,1.0,0.4247606267556389,0.9938461538461538,0.9917921236645353,0.4543589743589744,1.0,0.9938461538461538,0.37790699884459017
CM,4966.0,0.25303471048565496,1.0,0.4233202318665417,0.9535042735042735,0.9895708812776831,0.3442735042735043,1.0,0.9535042735042735,0.25303471048565496
MM,1811.0,0.3844707193258884,1.0,0.42209685733820845,0.9952136752136752,0.990593597124353,0.4707692307692308,1.0,0.9952136752136752,0.3844707193258884
DM,34.0,0.42125040217488025,1.0,0.42125040217488025,1.0,0.838330008288623,0.8181818181818182,1.0,1.0,0.42125040217488025
