,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
ES,136638.0,0.17654761430290594,1.0000000000000002,0.7589836319178016,0.3880071737468049,0.9471078897919919,0.275286248625386,0.9900876604840313,0.38800717374680566,0.17654761430290533,0.17654761430290533
BB,282.0,0.7564613142166945,1.0,0.7579699840339799,0.9999949247590716,0.9631824470858532,0.7725469394353616,0.9082130797151035,0.9999949247590713,0.7564613142166943,0.7564613142166945
BR,159641.0,0.10859934913581734,1.0000000000000002,0.7560928769836253,0.4300913207342227,0.9045259562973273,0.4475994498107645,0.9364865966758805,0.4300913207342225,0.10859934913581729,0.10859934913581717
DE,220641.0,0.1289913742668969,0.9999999999999998,0.7513895268930042,0.5346209332433127,0.9089898646496454,0.4413320535434656,0.9689638389866553,0.5346209332433126,0.1289913742668969,0.12899137426689697
CA,143776.0,0.254702182731171,1.0,0.7477214487746913,0.601017171166012,0.9268150115573592,0.46357855284806193,0.978041853465684,0.6010171711660128,0.25470218273117057,0.25470218273117057
AU,123658.0,0.24507767699048555,0.9999999999999997,0.7350197967675826,0.5624327528391102,0.9375543991910084,0.40775303134952084,0.9839576034714334,0.5624327528391107,0.24507767699048552,0.24507767699048533
NC,324.0,0.7091943995552196,1.0000000000000002,0.7099956503206769,0.9999974895310808,0.9681155183814368,0.7582952516060011,0.8925849820778187,0.9999974895310807,0.7091943995552196,0.7091943995552196
FK,22.0,0.7075204747852966,0.9999999999999998,0.7075929994292061,0.9999999924479963,0.9855077875178125,0.7074726889868171,0.9611490535835807,0.9999999924479962,0.7075204747852967,0.7075204747852964
GR,28167.0,0.487116363083799,1.0000000000000004,0.705705205064408,0.7943718912016785,0.9523745396175689,0.46504553972558704,0.9765460349183279,0.7943718912016791,0.48711636308379874,0.4871163630837986
FR,189309.0,0.11202538532726922,1.0000000000000004,0.6857023072942242,0.6527615094947404,0.9010082518383977,0.456015376009194,0.9495042371828385,0.6527615094947399,0.11202538532726967,0.11202538532726969
TR,117287.0,0.10470189783063898,1.0000000000000002,0.6791209202764615,0.5121178914036283,0.9307328291332252,0.3410523944227704,0.9443757567428095,0.5121178914036284,0.10470189783063902,0.104701897830639
CW,136.0,0.6772383153162771,0.9999999999999998,0.6786988904696254,0.999995761472033,0.9682764802428682,0.713318045279595,0.9301782540236725,0.9999957614720331,0.6772383153162777,0.6772383153162773
NL,79955.0,0.31127605437277384,1.0000000000000002,0.6703921199557189,0.7395269508029159,0.9322707579302629,0.46702898198549814,0.9801103364146913,0.7395269508029155,0.31127605437277406,0.31127605437277395
SG,29086.0,0.4692276381728711,1.0,0.6604134190422795,0.9236041104907167,0.9538959114487703,0.6092132146019629,0.9619907386051045,0.9236041104907166,0.4692276381728713,0.469227638172871
GU,130.0,0.6586386700767748,1.0,0.6598626300152326,0.9999980512567123,0.9628078798146655,0.6189501918275512,0.8508170167682503,0.9999980512567126,0.6586386700767747,0.6586386700767748
HK,44612.0,0.37139395665716324,1.0,0.6567953119499556,0.8595838460837318,0.9531132163903284,0.5215337345223436,0.9680584329813997,0.8595838460837316,0.3713939566571637,0.3713939566571637
