,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
CYPRUS,2851.0,0.04984045937935589,1.0,0.15488931292067715,0.9640858612784216,0.9623060142232847,0.15459138843889952,0.9319491032812244,0.9640858612784216,0.049840459379355814,0.04984045937935579
ESTONIA,2566.0,0.1315768348574759,0.9999999999999999,0.261281699530245,0.9651112589213834,0.9819275117790649,0.21200586359093462,0.9838772893704946,0.9651112589213835,0.13157683485747598,0.131576834857476
OMAN,2418.0,0.05975020137261262,1.0000000000000002,0.14739653465570723,0.9797889957478885,0.9648669582535793,0.15799033437435447,0.956561365318149,0.9797889957478885,0.0597502013726126,0.059750201372612596
AZERBAIJAN,2378.0,0.5754140991145907,1.0000000000000002,0.6328263028108958,0.9902708655202961,0.9628924361615407,0.6599088991161302,0.9313124824022371,0.9902708655202961,0.5754140991145913,0.5754140991145911
UGANDA,2309.0,0.40041541208257386,0.9999999999999998,0.44264857175175065,0.9905974031219051,0.9418951452642514,0.5781226065976836,0.7856125928311978,0.9905974031219049,0.4004154120825738,0.40041541208257386
UZBEKISTAN,2035.0,0.4391570710774817,1.0,0.4752076007459563,0.9986732656342702,0.953066940345131,0.563393268624508,0.8343151488794922,0.9986732656342701,0.43915707107748164,0.43915707107748153
TANZANIA,1986.0,0.40183227323425014,0.9999999999999998,0.46877150275896895,0.9845576281856748,0.9577079253574479,0.5690880979610997,0.9175146838531162,0.9845576281856747,0.40183227323425025,0.40183227323424997
CAMEROON,1897.0,0.1653766718518325,1.0000000000000002,0.2566648843293557,0.9762984912291517,0.960645373264331,0.32899682164986965,0.949356065022327,0.9762984912291515,0.1653766718518325,0.1653766718518325
LUXEMBOURG,1881.0,0.3819302485577079,1.0000000000000007,0.41906449262080636,0.9951017905018482,0.9607596808949309,0.5047418925959775,0.9188693061206623,0.9951017905018488,0.3819302485577079,0.3819302485577079
SRI LANKA,1856.0,0.28784414483307624,1.0,0.39361773080877127,0.9719043572749823,0.9686405657615302,0.36552322602115483,0.9589298091191597,0.9719043572749821,0.2878441448330763,0.2878441448330762
NEPAL,1807.0,0.4407259368104776,0.9999999999999997,0.49774894763527056,0.9869948585617674,0.9434870500319822,0.5804751195747218,0.9384122177552002,0.9869948585617676,0.44072593681047756,0.4407259368104774
LATVIA,1545.0,0.3818319662468372,1.0,0.44937825701944534,0.9865578690932225,0.97354091979091,0.48121527142176485,0.9519613277921046,0.9865578690932226,0.381831966246837,0.3818319662468372
ICELAND,1498.0,0.43983071892012143,1.0000000000000002,0.45633548578805616,0.9993264623349802,0.952415663935664,0.5791346018923055,0.9382637415815844,0.9993264623349803,0.4398307189201214,0.43983071892012143
URUGUAY,1470.0,0.5380744872139401,0.9999999999999998,0.5547045925711176,0.9994135567248535,0.9590993821373475,0.6328502241375666,0.9149557024431562,0.9994135567248538,0.53807448721394,0.53807448721394
PALESTINE,1192.0,0.5769114784564728,1.0,0.6189339199763872,0.9923574288563475,0.9747507519000873,0.6377310856421095,0.9476280886599753,0.9923574288563475,0.5769114784564728,0.5769114784564726
